"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 14, 1, 40
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/error/error.component.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 0, 5, 22, 111
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/home/home.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/listusers.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/listusers.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/login/login.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 10, 60
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 2, 2, 11
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaroffline/navbaroffline.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 4, 1, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/navbaronline/navbaronline.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 10, 32
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/pagenotfound/pagenotfound.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.css", "CSS", 0, 0, 0, 0, 0, 0, 53, 0, 1, 7, 61
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccess/paymentsuccess.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccessredirect/paymentsuccessredirect.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccessredirect/paymentsuccessredirect.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccessredirect/paymentsuccessredirect.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/paymentsuccessredirect/paymentsuccessredirect.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/profil/profil.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/profil/profil.component.html", "HTML", 0, 0, 0, 0, 88, 0, 0, 0, 25, 61, 174
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/profil/profil.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/profil/profil.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 17, 72
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/rank.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/rank.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/ranking/ranking.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/ranking/ranking.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 1, 11, 41
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/ranking/ranking.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/ranking/ranking.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/redirect/redirect.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/redirect/redirect.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/redirect/redirect.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/redirect/redirect.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/register/register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/register/register.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/register/register.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/register/register.component.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 15, 71
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/splash-screen/splash-screen.component.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 1, 8, 57
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/splash-screen/splash-screen.component.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/splash-screen/splash-screen.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/splash-screen/splash-screen.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/url.pipe.spec.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/url.pipe.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/user-data.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/user-data.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/websites/websites.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/websites/websites.component.html", "HTML", 0, 0, 0, 0, 58, 0, 0, 0, 1, 37, 96
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/websites/websites.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/websites/websites.component.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 2, 22, 77
